#,,,,Start,,,Highest Point,,,End,,,,,,
#,Date,Satellite,Brightness (mag),Time,Altitude,Azimuth,Time,Altitude,Azimuth,Time,Altitude,Azimuth,,,,
,13-Oct,STARLINK-1100,6.3,19:18:57,10°,W,19:22:39,23°,SW,19:26:26,10°,SSE,,,,
,13-Oct,STARLINK-5116,5.4,19:19:14,10°,SSW,19:23:22,26°,SE,19:27:03,12°,E,,,,
,13-Oct,STARLINK-2699,5.9,19:19:19,10°,SSE,19:20:06,10°,SSE,19:20:53,10°,SE,,,,
,13-Oct,STARLINK-3375,?,19:19:21,10°,SW,19:20:05,10°,SSW,19:20:51,10°,SSW,,,,
,13-Oct,STARLINK-4294,6.6,19:19:32,10°,W,19:21:20,12°,WNW,19:23:07,10°,NW,,,,
,13-Oct,STARLINK-4732,4.9,19:19:32,10°,WNW,19:23:27,43°,SW,19:27:23,10°,SSE,,,,
,13-Oct,STARLINK-2325,5.5,19:19:52,10°,S,19:22:29,16°,SE,19:25:04,10°,ESE,,,,
,13-Oct,STARLINK-2298,5.4,19:19:58,10°,S,19:23:00,19°,SE,19:25:50,11°,E,,,,
,13-Oct,STARLINK-3131,4.9,19:20:06,10°,SW,19:24:41,48°,NW,19:29:22,10°,NNE,,,,
,13-Oct,STARLINK-2729,4.9,19:20:11,10°,WSW,19:23:24,28°,WNW,19:25:52,10°,N,,,,
,13-Oct,STARLINK-1653,4.1,19:20:22,10°,SW,19:24:59,65°,SE,19:29:46,12°,NE,,,,
,13-Oct,STARLINK-3457,?,19:20:28,10°,NNE,19:22:59,16°,ENE,19:24:54,12°,E,,,,
,13-Oct,STARLINK-1168,6,19:20:32,10°,W,19:24:01,25°,SW,19:27:34,10°,SSE,,,,
,13-Oct,STARLINK-3352,?,19:20:32,10°,W,19:22:26,12°,WNW,19:24:18,10°,NW,,,,
,13-Oct,STARLINK-3969,6.3,19:20:32,10°,W,19:22:57,15°,WNW,19:25:22,10°,NNW,,,,
,13-Oct,STARLINK-1902,5.8,19:20:33,10°,W,19:22:48,17°,SW,19:24:59,10°,S,,,,
,13-Oct,STARLINK-3099,5.1,19:20:35,10°,NNE,19:22:01,12°,NE,19:22:24,12°,ENE,,,,
,13-Oct,STARLINK-1355,5.6,19:20:39,10°,S,19:23:18,16°,SE,19:25:58,10°,ESE,,,,
,13-Oct,STARLINK-4056,5.5,19:20:52,10°,S,19:24:05,19°,SE,19:27:03,11°,E,,,,
,13-Oct,FLOCK 4S 46,?,19:20:53,10°,ESE,19:21:12,11°,E,19:21:12,11°,E,,,,
,13-Oct,FALCON 9 DEB,?,19:20:55,10°,N,19:22:48,22°,NE,19:24:05,14°,E,,,,
,13-Oct,STARLINK-4175,5.9,19:21:01,10°,S,19:23:08,13°,SSE,19:25:14,10°,ESE,,,,
,13-Oct,FLOCK 4S 48,?,19:21:03,10°,SE,19:23:22,20°,E,19:25:40,10°,NNE,,,,
,13-Oct,STARLINK-3372,?,19:21:22,10°,WNW,19:25:15,38°,SW,19:29:13,10°,SSE,,,,
